"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0042c",554.37160130603,-0.746524983267394,0.0769686870241204,8.63337258455198e-23,9.35556478712894e-22
"Rv0043c",438.746118117452,0.0153912016891025,0.0918939185301043,0.860542477535051,0.884106802675509
"Rv0044c",551.417529066491,-0.246069561475234,0.101203606880836,0.0117426554761007,0.019123890593142
"Rv0045c",817.839209459023,0.357988460436099,0.0746946188750585,1.05498221736828e-06,2.8856012919351e-06
"Rv0046c",5584.9959208861,-0.110066510953993,0.0877770896843206,0.198554616814244,0.250842347862214
"Rv0047c",1179.46210093994,-0.216738987885098,0.107269995163138,0.035219766178957,0.0527368260895
"Rv0048c",538.471172974895,-0.12858503538858,0.079949697531269,0.101630711400789,0.137244597365343
"Rv0049",898.661618567328,0.0349846075316609,0.0838688163841067,0.670126320834312,0.720407550138035
"Rv0050",7306.0661961897,0.570437557384491,0.0549509575030187,1.75356587714806e-25,2.24242170206361e-24
"Rv0051",2258.55790529971,0.532749849560338,0.0725134682991608,8.69129382517073e-14,4.57818219108662e-13
"Rv0052",387.049750103063,0.182760461279833,0.0942615961977879,0.0478741225090392,0.0696419716784334
"Rv0053",434.940438247457,0.157023187558499,0.14412755521769,0.244089999752845,0.300226342300489
"Rv0054",1218.45837981468,-0.369953703111376,0.0809788996631703,2.99949865252877e-06,7.81205379247342e-06
"Rv0055",347.878908991745,-0.580931739024923,0.116076679168886,2.16751356965604e-07,6.40907172232124e-07
"Rv0056",1515.47711471649,-0.666696418193127,0.0881438154096353,1.10475285280446e-14,6.23205971007564e-14
"Rv0057",602.078912293441,0.0289864165654305,0.0911162199649618,0.73620554612349,0.778280677472296
"Rv0058",4700.48680589585,-0.364610809009543,0.0553805407345506,3.05004394475982e-11,1.29732885222565e-10
"Rv0059",430.850985657961,-0.177199532630726,0.0909353672089299,0.0471905753814295,0.0687761867228874
"Rv0060",1694.98047563915,0.0289956745343717,0.0593129030558987,0.625307658878158,0.683200153669899
"Rv0061c",572.559944530789,-0.15794957798434,0.0937641221503507,0.0845010809598392,0.115923007580987
"Rv0062",947.658304112842,-0.770917077284922,0.0981908058548456,8.97266553178383e-16,5.49834989520867e-15
"Rv0063",1280.71094774756,-0.556512589259991,0.0994110205640546,7.63098240145607e-09,2.58724782698984e-08
"Rv0064",4269.84388085054,0.618330495833195,0.0662593177727575,3.6107711307906e-21,3.451931919989e-20
"Rv0064A",59.0058857871428,0.211265420552996,0.226742632334344,0.265801903097635,0.324162578540109
"Rv0065",540.606080352066,0.315441469674492,0.099758089708067,0.000985178146144995,0.00187886298033665
"Rv0066c",3941.80441262299,0.170915626938258,0.0591710544624929,0.00350792609178705,0.0061512442976354
"Rv0067c",107.19577284177,0.0674567977279444,0.143727914515998,0.612141107818779,0.670657075976662
"Rv0068",131.433543596142,-0.558705657741818,0.135145716590153,1.28145625601148e-05,3.0868270927666e-05
"Rv0069c",1086.57343166937,-0.529793124156561,0.0663086351406713,5.26926184800607e-16,3.29765157925882e-15
"Rv0070c",676.092608403017,-0.203148575132247,0.0798614517045628,0.00959189484632629,0.0158813346394004
"Rv0071",96.6529532014317,0.553986166135505,0.159233227946571,0.000184151188056853,0.000386270714610815
"Rv0072",823.176819943851,-0.15475057870794,0.0949531847457663,0.0928808390339556,0.126372595565529
"Rv0073",1007.02627032599,-0.504379773928075,0.0769403590215206,2.29934399242202e-11,9.8966353440069e-11
"Rv0074",885.610333817851,-0.644681017051674,0.0902797559579526,2.72887229821127e-13,1.38604407790373e-12
"Rv0075",790.58511302616,0.0287121539649391,0.0726168075541589,0.691401198276707,0.738571733963595
"Rv0076c",215.052426653473,-0.0694016189442172,0.121047581428321,0.547705423289714,0.611414085249041
"Rv0077c",160.147659843263,0.261072937155551,0.121104845195718,0.0238517760921194,0.036881226095785
"Rv0078",242.352171454828,0.462885899450693,0.111634786842325,1.55748436924882e-05,3.73139478102564e-05
"Rv0078A",715.695285213902,0.48314925878105,0.0866884944006583,1.14170965688959e-08,3.80921082671971e-08
"Rv0078B",13.358338494029,0.068344125213698,0.303270164369261,0.741453208846058,0.782787207746422
"Rv0079",1038.834930317,-0.248352192123329,0.228018008189776,0.19351216360742,0.245329255552027
"Rv0080",293.241541983459,0.504198705174134,0.481300033150332,0.0607806432461536,0.0865156113779359
"Rv0081",35.5931453832222,-0.31963799112181,0.264524890798779,0.127493348457743,0.168957363151097
"Rv0082",91.3312388015601,-0.173015988753865,0.187563089629965,0.298609310169506,0.360196914329429
"Rv0083",272.738443441036,-0.0373602255101584,0.122862850181328,0.752082219604738,0.791696926248821
"Rv0084",267.137202839704,-0.394200525040948,0.168876931127605,0.0105157491773706,0.0172529432666679
"Rv0085",107.918825313984,-0.135793287049637,0.199204492386283,0.423913046993361,0.492084714291005
"Rv0086",581.31294718163,-0.515899452816171,0.140364793431521,9.42744175532241e-05,0.000206118393957764
"Rv0087",300.929918977445,0.0681614738071059,0.120977559471519,0.55496221914851,0.618750979970177
"Rv0088",696.989419218871,-0.118810379550557,0.0943897250214409,0.197229354909052,0.249326492203846
"Rv0089",108.184685451268,0.202664671263063,0.154193389985041,0.155003956162154,0.20125717716516
"Rv0090",68.9846719940608,0.469887255063963,0.201999041961836,0.00843918976171938,0.0141019570093941
"Rv0091",176.769845315057,0.643035946726832,0.133016905060081,3.96494535985936e-07,1.13606539597699e-06
"Rv0092",1582.70755288791,0.307665905120035,0.0742975261387855,2.46574090925287e-05,5.77177845562017e-05
"Rv0093c",1076.73712776462,1.06021963660774,0.0749862768669495,3.28495975549607e-46,1.36086301537582e-44
"Rv0094c",259.621121777989,0.0115082518430875,0.141476694186418,0.940307224249759,0.95034354023921
"Rv0095c",32.0823469476006,0.0556283322076995,0.22799728671869,0.770657344576836,0.807191008528332
"Rv0096",146.855803087783,0.196281268823453,0.193244988774499,0.250842825557972,0.307332691695642
"Rv0097",285.927363525788,0.329924982432019,0.183757071396817,0.0447099131653962,0.0656130349294394
"Rv0098",98.4784394075468,0.362544570522936,0.196362272181005,0.0361538775445466,0.0540681881601855
"Rv0099",617.516967056753,0.477931957914081,0.113101758726604,1.06590220412463e-05,2.60067059251758e-05
"Rv0100",27.915629471941,0.036066543426829,0.240921922483585,0.853729099066658,0.877787132106541
"Rv0101",4566.58023244003,-0.109366290140646,0.0866103380895048,0.194266636788268,0.246050450479917
"Rv0102",2484.88267166631,-0.620294715352245,0.0491018831348965,2.96336874479649e-37,7.90960905909774e-36
"Rv0103c",2406.99191413465,-0.479764220500529,0.0533289338781946,1.15949255856686e-19,9.832200224777e-19
"Rv0104",596.099444800644,0.023299843191833,0.100335056598023,0.811553032739381,0.842041850040313
"Rv0105c",1.4365538925483,-0.094430748920593,0.409754098788912,0.327653098072093,0.39170370615399
"Rv0106",196.874143830263,0.0745842444027185,0.125632599245506,0.535699922331803,0.600134814398191
"Rv0107c",10920.2924672349,-0.00610955181250546,0.0613127695253001,0.91355634587354,0.927313319943611
"Rv0108c",2243.62372073499,-0.240517304015458,0.128090673054178,0.048152896926435,0.0700197700462274
"Rv0109",431.003038295121,0.526180752360401,0.0914219420891937,3.65382845368066e-09,1.28303937940673e-08
"Rv0110",244.624011374021,0.16508378675929,0.106222214936814,0.108761697370634,0.145932952241231
"Rv0111",4481.7079837375,-1.13177984349731,0.101664698789927,7.72539627044859e-30,1.30740004117336e-28
"Rv0112",321.515225354457,-0.196491368422807,0.103774188618589,0.0499116067864825,0.0723654612431064
"Rv0113",378.738589513014,0.0702509362447134,0.0993457322180574,0.468738170442788,0.535186991917046
"Rv0114",150.144354224152,-0.539138660115171,0.140592167599789,4.72922030021424e-05,0.000107159105966597
"Rv0115",235.959157808989,-0.301374155043136,0.119191617146857,0.0074469007335025,0.0125492899225167
"Rv0116c",927.07525996545,0.41250914985471,0.0841571062597021,5.36251460532795e-07,1.51146141639895e-06
"Rv0117",554.734881076985,-0.391161281491408,0.0891956468689424,6.39672603189334e-06,1.5959711059498e-05
"Rv0118c",3610.64050932401,-0.573387030446407,0.0645013031415593,2.27167178850595e-19,1.87436487611787e-18
"Rv0119",1296.02904960552,-0.506913814547831,0.0799920189431606,9.86025666130892e-11,3.99330353788448e-10
"Rv0120c",1177.11429929345,-0.86943713172573,0.0864011371245894,1.75090014785111e-24,2.09738852048309e-23
"Rv0121c",95.8915952492972,-0.708283846779621,0.180696973800094,2.11254574618259e-05,4.99797408243198e-05
"Rv0122",63.0979142372218,1.15065972292443,0.203921962689138,2.13861149395753e-09,7.71801988336577e-09
"Rv0123",68.7390384221247,0.662157492886122,0.189336391351625,0.000123055511086963,0.000264250414466983
"Rv0124",171.066779491192,0.575516650542742,0.126146358847465,1.78368233874868e-06,4.76727463790559e-06
"Rv0125",2377.58731732163,0.0395567186053237,0.0650173867415751,0.532991407398715,0.597268759432147
"Rv0126",2799.8350551202,0.478093643825411,0.0612271940054972,3.00619948349839e-15,1.75560284080368e-14
"Rv0127",1591.34446819797,0.489783318962549,0.0745926950293966,2.30456738103079e-11,9.90839402633454e-11
"Rv0128",626.616250717741,0.357155120175036,0.0907639636502954,5.22681972885378e-05,0.000117507416968069
"Rv0129c",9225.15051807475,-0.595261895701941,0.197253081733551,0.000722796578357281,0.00140222536201312
"Rv0130",174.09061035027,-0.89526748763688,0.134309299582514,4.69127165605749e-12,2.16189888483669e-11
"Rv0131c",492.182588521588,0.00819787558012977,0.0778301387565261,0.909322137184127,0.924903872015671
"Rv0132c",519.619176091646,1.01640939685305,0.0861694870640544,6.45198395961377e-33,1.28942413102432e-31
"Rv0133",631.015109730126,-0.581142962965837,0.0882657717550967,1.60848947985444e-11,7.02191291040738e-11
"Rv0134",2147.04091304004,-0.168813612309349,0.0625150533904068,0.00625180672241239,0.0106344890226835
"Rv0135c",1654.72604743022,0.226294035928939,0.0608738421777309,0.000158952287139111,0.000336430679059205
"Rv0136",853.047770121078,0.0505558720101907,0.0775324435629265,0.505011063376834,0.569282596102514
"Rv0137c",747.647533145058,0.137109367715548,0.137941581854176,0.292287795280535,0.353214391318957
"Rv0138",253.936081227541,-0.44502940476468,0.107659738587387,1.71003840733781e-05,4.0845782258153e-05
"Rv0139",1088.16898111739,-0.685273286867518,0.0862125612950757,5.59954472520489e-16,3.49597949327156e-15
"Rv0140",401.861876123293,0.39179030915217,0.0875713529096357,5.51430867406082e-06,1.38624561294184e-05
"Rv0141c",411.770959366785,-0.036170859085487,0.0911635859683355,0.683639520988267,0.732444605326061
"Rv0142",784.416691494142,-0.0864351956240523,0.0745113061180435,0.235371528208598,0.290926005899398
"Rv0143c",1732.50106698489,-0.434522085568278,0.0555342388669892,2.68910025759784e-15,1.57736751098328e-14
"Rv0144",5244.4521508375,-0.124443582000751,0.0692190201808309,0.0687985496019019,0.0968648467716041
"Rv0145",2878.51718530226,0.256791559072917,0.0868865279542472,0.00244448382800081,0.00437323984883455
"Rv0146",1333.35269634509,0.437986735921504,0.0836534607443934,8.76722665292085e-08,2.70918884216521e-07
"Rv0147",2407.30577588163,-0.0862544945826853,0.0798022452976358,0.271266356134848,0.329714638859502
"Rv0148",1862.57978624913,0.000153046743509209,0.0605888900664491,0.991784612342613,0.993533350953797
"Rv0149",1055.66608119264,0.0838993879212687,0.0775952904334672,0.271528189775337,0.329932053387265
"Rv0150c",34.393416619685,0.00268784180344177,0.229854948946927,0.991102647769061,0.993100335141737
"Rv0151c",611.231939304287,0.113242135138765,0.096772625709648,0.217743680857322,0.271803709594969
"Rv0152c",355.243818479549,0.764520638291984,0.0920143742552176,2.31589834125554e-17,1.60738703371261e-16
"Rv0153c",823.856498929943,-0.265755535980268,0.07148055324969,0.000161546676135059,0.000341558283354137
"Rv0154c",1529.74828894441,-0.549951870329873,0.0668589659398857,7.3471053092492e-17,4.89437819344792e-16
"Rv0155",700.515031593521,-1.11446036604362,0.0857824957323893,2.18726859527993e-39,6.58997515411234e-38
"Rv0156",378.433522366683,-0.74922773765497,0.0965155165353241,1.86626960303841e-15,1.10944009137276e-14
"Rv0157",2681.95547416884,-0.943811833937803,0.0709505115977025,3.07133325763686e-41,1.00120429226408e-39
"Rv0157A",0,NA,NA,NA,NA
"Rv0158",336.510944978498,-0.493456267571483,0.105721374982492,1.34707016031286e-06,3.65935657620508e-06
"Rv0159c",403.399245713443,0.0614581717585126,0.0882086950051445,0.476787609574865,0.541921784303869
"Rv0160c",111.062728973595,0.321611977293405,0.144312126592493,0.0165556524133156,0.0261900674812076
"Rv0161",352.49400308896,-0.0277083508482957,0.0992345462561972,0.76778108702917,0.804423849898864
"Rv0162c",373.65706046902,-0.492426027900364,0.108887616275255,2.61348711490769e-06,6.85609383640362e-06
"Rv0163",170.255771434104,-0.141650975142186,0.119295020146836,0.212839633512776,0.266686585532549
"Rv0164",2800.54169606724,-0.38429746206191,0.0736892544362626,9.90120845666655e-08,3.03367534916509e-07
"Rv0165c",1749.41243861024,0.0594783195941545,0.0635789514185684,0.337937413002311,0.402750102340483
"Rv0166",4621.87310589468,-1.20122736352524,0.0617989525050327,4.26187294619036e-85,6.77978748279963e-83
"Rv0167",4960.43696287596,-1.25035352176808,0.0563992631350658,7.00464036937872e-110,2.53249588627447e-107
"Rv0168",2330.8071785128,-0.932370329346929,0.0925334590828992,1.21487094601215e-24,1.48662823147394e-23
"Rv0169",4254.92118453548,-0.981511262358427,0.0799050611874682,1.74132544603089e-35,4.04985456073969e-34
"Rv0170",1874.0699254232,-0.796528582102656,0.0841214082069821,5.97377113595933e-22,6.01460450828108e-21
"Rv0171",7609.65883028917,-0.994609656093941,0.0814173488784843,2.88703008165116e-35,6.56098207698666e-34
"Rv0172",5020.10672637857,-0.778507146727903,0.0776864251998517,2.68652277023114e-24,3.170415743979e-23
"Rv0173",3792.14133991687,-0.804314356564605,0.0822545755332161,2.23879855215942e-23,2.5151700118469e-22
"Rv0174",10433.2433560899,-0.933100471772122,0.0596527462567959,5.81076294791671e-56,3.50142488543405e-54
"Rv0175",3931.01170781465,-0.50130163813065,0.062650167910521,4.81742729911321e-16,3.02668378650446e-15
"Rv0176",3968.70419049859,-0.33080356380067,0.0479416438890078,3.50999741852624e-12,1.63075464176155e-11
"Rv0177",2250.33205417939,0.0549012973605513,0.0704261706817056,0.432639569472844,0.500379643637964
"Rv0178",4206.38470509539,-0.0879786644104912,0.0713052754020195,0.203241652632836,0.255869595606454
"Rv0179c",3077.76745547885,0.193844496901843,0.0696342217022253,0.00471703226993103,0.00816811903045781
"Rv0180c",1291.54584766872,-0.0528273866882531,0.0571894305507946,0.343104957033593,0.408052755419437
"Rv0181c",503.533360662153,0.0482890597078127,0.0860018835134753,0.563966553069975,0.627558752534777
"Rv0182c",1694.63610280045,0.0283032412400393,0.0707089313239607,0.684729535436101,0.732987296791169
"Rv0183",1284.0885453834,-0.79625144629707,0.058363475810484,6.47654821166797e-43,2.18281629133928e-41
"Rv0184",1965.98506489683,-0.532024972519545,0.0645577202749356,6.86180800848618e-17,4.58645553777303e-16
"Rv0185",704.657137149788,-0.561885199352621,0.0816347261435174,2.30258233282337e-12,1.08628350387171e-11
"Rv0186",3791.73291537019,-0.194337934027975,0.050993225021618,0.000114468133212616,0.000247144281100203
"Rv0186A",0,NA,NA,NA,NA
"Rv0187",532.308468478287,0.0322379321955283,0.104947936662031,0.752013411063227,0.791696926248821
"Rv0188",754.735874775754,0.643433094275931,0.080523052122203,3.9588109174918e-16,2.50305103638551e-15
"Rv0189c",7992.45967192531,0.532661511093098,0.0991991571203053,3.21479539693367e-08,1.03692143500448e-07
"Rv0190",445.837270003321,-0.261400610196129,0.120493935603786,0.0224315589232166,0.034752750228918
"Rv0191",4964.69578946857,0.0155920472062443,0.105337483017799,0.87807793670942,0.898871545506657
